,gender,race,age,dir,p_year,party,major,degree,avg
207,1,2,5,1,4,1,2.0,2,0
208,1,1,4,1,4,1,3.0,1,1
209,1,1,3,6,3,1,2.0,2,1
210,1,1,3,6,4,1,7.0,1,1
211,1,1,5,3,5,1,3.0,2,1
212,1,1,4,1,5,1,2.0,3,0
213,1,1,4,6,5,1,2.0,3,1
214,1,2,6,2,5,1,2.0,2,1
215,1,1,3,2,4,1,4.0,2,1
216,1,2,3,1,3,1,2.0,3,1
217,1,1,4,5,5,1,2.0,3,1
218,1,1,4,1,4,1,3.0,3,0
219,1,1,4,2,4,1,1.0,3,1
220,1,1,4,5,4,1,3.0,2,1
221,1,1,4,6,4,1,1.0,3,1
222,1,1,3,6,4,1,1.0,2,1
223,1,1,4,1,5,1,3.0,2,1
224,1,1,4,1,4,1,1.0,3,1
225,1,2,4,6,5,1,1.0,3,0
226,1,1,5,6,5,1,1.0,2,1
227,1,1,3,2,4,1,1.0,2,1
228,2,1,4,5,4,1,1.0,2,1
229,1,2,3,1,3,1,6.0,2,1
230,1,1,4,1,4,1,1.0,3,1
231,1,1,4,1,4,1,2.0,2,1
232,1,1,4,1,4,1,3.0,2,1
233,1,1,4,1,4,1,1.0,3,0
234,1,1,4,6,5,1,3.0,3,0
235,1,1,4,6,4,1,1.0,2,1
236,1,1,4,1,4,1,1.0,2,1
237,1,1,4,5,5,1,3.0,3,1
238,1,1,4,1,4,1,2.0,2,1
239,1,1,4,1,5,1,3.0,2,0
240,1,1,4,6,4,1,1.0,2,1
241,1,1,1,6,3,1,1.0,2,1
242,1,1,4,5,1.0,3,1.0,3,0
243,1,1,4,6,4,1,1.0,2,1
244,1,1,4,1,5,1,3.0,2,1
245,1,1,4,1,4,1,3.0,2,1
246,2,1,4,6,5,1,2.0,3,1
247,2,1,4,5,4,1,2.0,3,1
248,1,1,4,6,4,1,1.0,2,1
249,1,1,3,3,4,1,3.0,2,1
250,1,2,4,4,4,1,5.0,1,1
251,1,1,4,6,4,1,2.0,2,1
252,1,1,4,2,4,1,7.0,1,0
253,1,1,4,6,4,1,2.0,3,1
254,1,1,4,6,4,1,1.0,2,1
255,1,1,5,6,4,1,1.0,1,1
256,1,1,4,6,4,1,8.0,2,1
257,1,1,4,6,4,1,1.0,2,1
258,1,1,4,6,4,1,1.0,1,0
259,1,1,5,6,4,1,2.0,3,0
260,1,1,3,6,4,1,2.0,3,1
261,1,1,4,6,5,1,3.0,3,1
262,1,1,3,6,4,1,2.0,2,1
263,1,1,4,1,4,1,3.0,3,0
264,1,1,4,5,4,1,3.0,3,1
265,1,1,3,6,4,1,2.0,3,1
266,1,1,4,6,5,1,1.0,2,1
267,1,1,5,4,5,1,3.0,3,1
268,1,1,3,1,4,1,4.0,2,1
269,1,1,4,6,4,1,3.0,2,1
270,1,1,4,6,4,1,7.0,1,1
271,1,2,4,6,5,1,1.0,2,1
272,1,1,3,6,4,1,1.0,3,1
273,2,1,4,5,1.0,3,3.0,3,0
274,1,1,4,6,4,1,3.0,1,1
275,1,1,4,6,4,1,2.0,1,1
276,2,1,4,6,5,1,3.0,3,1
277,1,1,3,4,4,1,6.0,3,1
278,1,1,4,6,4,1,3.0,1,1
279,1,1,4,6,4,1,3.0,2,1
280,2,1,3,6,4,1,4.0,2,1
281,1,1,3,2,4,1,1.0,3,1
282,1,1,2,6,4,1,2.0,3,0
283,1,1,5,6,4,1,3.0,3,1
284,1,1,2,6,4,1,1.0,2,1
285,1,1,3,1,4,1,3.0,3,1
286,1,1,4,6,4,1,1.0,2,1
287,1,1,1,6,3,1,2.0,2,1
288,1,1,3,6,4,1,1.0,2,1
289,1,1,4,3,4,1,3.0,3,1
290,1,1,3,6,4,1,1.0,2,1
291,1,1,3,7,4,1,2.0,2,1
292,1,1,4,6,4,1,1.0,3,1
293,1,1,4,5,5,1,2.0,1,0
294,1,1,3,2,4,1,2.0,3,0
295,1,1,4,6,4,1,3.0,3,1
296,1,1,4,6,4,1,5.0,2,1
297,1,1,3,6,4,1,2.0,2,1
298,1,1,5,6,4,1,3.0,2,0
299,1,1,4,5,4,1,5.0,3,1
300,1,1,5,5,5,1,1.0,3,1
301,1,1,4,5,4,1,2.0,2,1
302,2,1,4,6,4,1,2.0,2,0
303,1,1,3,6,4,1,3.0,1,1
304,1,1,4,6,4,1,4.0,3,1
305,1,1,4,5,4,1,2.0,3,1
306,2,1,4,6,3,1,2.0,2,1
307,1,1,4,6,5,1,7.0,1,1
308,1,1,3,6,4,1,6.0,2,1
309,1,1,2,6,3,1,2.0,3,1
310,1,1,4,6,5,1,1.0,2,1
311,1,1,4,6,4,1,1.0,2,0
312,1,1,3,6,4,1,2.0,2,1
313,1,1,3,6,4,1,1.0,2,1
314,1,1,2,6,4,1,4.0,3,1
315,1,1,4,6,4,1,8.0,1,1
316,1,1,4,6,4,1,9.0,1,1
317,1,1,4,1,4,1,1.0,3,1
318,1,1,4,6,4,1,2.0,2,1
319,2,1,4,6,2.0,2,4.0,2,0
320,1,1,4,6,4,1,1.0,2,1
321,1,1,3,6,4,1,7.0,1,0
322,1,1,4,6,4,1,1.0,2,1
323,1,1,4,6,4,1,1.0,3,1
324,1,1,4,6,4,1,3.0,3,0
325,1,1,4,6,4,1,1.0,2,0
326,1,1,4,6,5,1,2.0,1,1
327,1,1,5,4,5,1,4.0,3,1
328,1,1,4,5,4,1,4.0,2,0
329,1,1,4,6,4,1,2.0,2,1
330,1,1,3,6,4,1,1.0,3,0
331,1,1,4,6,4,1,9.0,3,1
332,1,1,4,6,5,1,1.0,2,0
333,1,1,4,3,4,1,2.0,2,0
334,1,1,3,2,4,1,1.0,2,1
335,2,1,3,6,4,1,8.0,1,0
336,1,1,4,6,4,1,3.0,3,0
337,1,1,4,6,4,1,1.0,2,1
338,1,1,3,6,4,1,1.0,2,0
339,1,1,4,6,4,1,3.0,3,0
340,1,1,4,6,4,1,1.0,2,1
341,1,1,4,6,4,1,1.0,2,0
342,1,1,4,6,4,1,1.0,2,1
343,1,1,4,6,4,1,3.0,2,0
344,1,1,4,6,5,1,3.0,2,0
345,1,1,3,6,4,1,3.0,3,1
346,2,1,4,5,4,1,3.0,2,1
347,1,1,3,5,3,1,8.0,3,1
348,1,1,5,5,4,1,2.0,2,0
349,1,1,4,5,5,1,3.0,2,0
350,1,1,4,6,5,1,3.0,1,0
351,1,1,4,6,4,1,1.0,2,0
352,1,1,3,7,4,1,1.0,3,1
353,2,1,3,6,4,1,1.0,2,1
354,1,1,4,2,4,1,2.0,1,0
355,1,1,5,6,5,1,2.0,3,0
356,1,1,3,6,4,1,1.0,2,1
357,1,1,4,6,4,1,5.0,1,0
358,1,1,4,2,4,1,2.0,1,1
359,1,1,4,6,4,1,1.0,2,0
360,1,1,1,6,3,1,4.0,2,1
361,1,2,4,4,4,1,1.0,2,1
362,1,1,4,5,1.0,3,1.0,3,0
363,1,1,3,6,4,1,1.0,2,1
364,1,1,3,6,4,1,2.0,3,1
365,1,1,3,6,4,1,2.0,3,1
366,1,1,5,5,5,1,3.0,2,1
367,1,1,3,6,4,1,4.0,2,1
368,1,1,4,6,4,1,6.0,1,0
369,1,1,4,6,4,1,4.0,3,0
370,1,1,4,6,4,1,1.0,2,1
371,1,1,3,6,4,1,1.0,3,1
372,1,1,4,6,4,1,2.0,3,0
373,1,1,4,5,4,1,5.0,2,1
374,1,1,3,6,4,1,3.0,3,1
375,1,1,4,6,4,1,1.0,2,0
376,1,1,4,2,4,1,2.0,3,1
377,1,1,2,6,4,1,1.0,3,1
378,1,1,4,6,4,1,1.0,2,0
379,1,1,4,6,4,1,1.0,3,1
380,1,1,2,6,4,1,1.0,2,1
381,1,1,4,1,5,1,1.0,3,1
382,1,1,4,5,5,1,3.0,2,1
383,1,1,3,6,4,1,2.0,2,1
384,1,1,3,6,4,1,1.0,2,1
385,1,1,4,6,4,1,1.0,2,1
386,1,1,4,6,5,1,1.0,3,1
387,1,1,4,6,5,1,1.0,3,0
388,1,1,2,6,3,1,4.0,3,1
389,1,1,4,6,4,1,6.0,3,1
390,1,1,4,6,4,1,7.0,1,1
391,1,1,4,5,5,1,3.0,2,1
392,1,1,3,5,3,1,4.0,1,1
393,1,1,4,5,5,1,3.0,2,1
394,1,2,4,6,5,1,5.0,3,1
